0.01 7.629395e-012 -2.099384e+001 7.629395e-010 1.090118e+000 -8.273390e+002 hcp
0.05 4.768372e-012 -2.307328e+001 9.536743e-011 1.084387e+000 -1.388034e+002 hcp
0.10 9.536743e-012 -2.307328e+001 9.536743e-011 1.077034e+000 -5.375201e+001 hcp
0.15 1.430511e-011 -2.307328e+001 9.536743e-011 1.069455e+000 -2.567676e+001 hcp
0.20 4.768372e-012 -2.445958e+001 2.384186e-011 1.061628e+000 -1.039091e+001 hcp
0.25 5.960464e-012 -2.445958e+001 2.384186e-011 1.053528e+000 -2.135895e+000 hcp
0.26 6.198883e-012 -2.445958e+001 2.384186e-011 1.051872e+000 -8.742953e-001 hcp
0.27 8.614732e-012 -2.416821e+001 3.190642e-011 1.050204e+000 1.621206e-009 hcp
0.28 2.630906e-011 -2.308814e+001 9.396094e-011 1.048523e+000 4.002288e-009 hcp
0.29 7.432207e-011 -2.208474e+001 2.562830e-010 1.046830e+000 7.519482e-009 hcp
0.30 1.957364e-010 -2.115028e+001 6.524546e-010 1.045123e+000 2.927752e-009 fcc
0.35 1.066407e-008 -1.730656e+001 3.046878e-008 1.036413e+000 1.020958e-009 fcc
0.40 2.109870e-007 -1.445518e+001 5.274675e-007 1.027288e+000 -8.950849e-010 fcc
0.45 2.122312e-006 -1.226450e+001 4.716250e-006 1.017715e+000 7.604557e-009 fcc
0.50 1.329982e-005 -1.053461e+001 2.659964e-005 1.007618e+000 5.695725e-009 fcc
0.55 5.908233e-005 -9.138742e+000 1.074224e-004 9.968981e-001 -5.647916e-009 fcc
0.60 2.027644e-004 -7.992640e+000 3.379407e-004 9.854239e-001 1.712363e-009 fcc
0.65 5.705227e-004 -7.038175e+000 8.777272e-004 9.730123e-001 4.451522e-009 fcc
0.70 1.373157e-003 -6.233968e+000 1.961653e-003 9.593978e-001 2.915872e-010 fcc

T      P              mu/T           ro_gas       ro_solid     dmu         solid_type

LJ sublimation curve according to AdidharmaTan2016.
Solid is FCC at T>=0.3 and HCP at T<=0.3        
The gas phase is ideal gas

